IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,FactValueNumeric,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric1,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2013,FALSE,Sex,Male,5.09,MLE,,,,,,,,,,5.09,,,4.09,,6.11,5.09 [4.09 – 6.11],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2012,FALSE,Sex,Male,5.09,MLE,,,,,,,,,,5.09,,,4.14,,6.02,5.09 [4.14 – 6.02],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2011,FALSE,Sex,Male,5.085,MLE,,,,,,,,,,5.08,,,4.2,,5.96,5.08 [4.2 – 5.96],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2010,FALSE,Sex,Male,5.075,MLE,,,,,,,,,,5.07,,,4.23,,5.91,5.07 [4.23 – 5.91],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2009,FALSE,Sex,Male,5.065,MLE,,,,,,,,,,5.06,,,4.27,,5.85,5.06 [4.27 – 5.85],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2008,FALSE,Sex,Male,5.055,MLE,,,,,,,,,,5.05,,,4.29,,5.81,5.05 [4.29 – 5.81],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2007,FALSE,Sex,Male,5.045,MLE,,,,,,,,,,5.04,,,4.31,,5.76,5.04 [4.31 – 5.76],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2006,FALSE,Sex,Male,5.035,MLE,,,,,,,,,,5.03,,,4.32,,5.74,5.03 [4.32 – 5.74],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2005,FALSE,Sex,Male,5.025,MLE,,,,,,,,,,5.02,,,4.32,,5.72,5.02 [4.32 – 5.72],,,EN,2020-05-28T23:00:00.000Z
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2004,FALSE,Sex,Male,5.015,MLE,,,,,,,,,,5.01,,,4.31,,5.7,5.01 [4.31 – 5.7],,,EN,2020-05-28T23:00:00.000Z
