IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2013,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,8.1,,,5.4,,11.7,8.1 [5.4 – 11.7],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2012,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,8,,,5.4,,11.3,8 [5.4 – 11.3],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2011,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7.9,,,5.5,,10.8,7.9 [5.5 – 10.8],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2010,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7.7,,,5.5,,10.5,7.7 [5.5 – 10.5],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2009,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7.5,,,5.4,,10.2,7.5 [5.4 – 10.2],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2008,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7.4,,,5.3,,9.8,7.4 [5.3 – 9.8],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2007,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7.2,,,5.2,,9.5,7.2 [5.2 – 9.5],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2006,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,7,,,5.1,,9.3,7 [5.1 – 9.3],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2005,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,6.8,,,4.9,,9,6.8 [4.9 – 9],,,EN,2017-11-17T00:00:00.000Z
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2004,FALSE,Sex,Both sexes,BTSX,Age Group,18+  years,YEARS18-PLUS,,,,,,,6.6,,,4.7,,8.8,6.6 [4.7 – 8.8],,,EN,2017-11-17T00:00:00.000Z
