IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,FactValueNumeric,FactValueNumericPrefix,FactValueNumeric1,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2013,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,132.5,129.4,129.4,,,123.5,,135.2,129.4 [123.5 – 135.2],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2012,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,132.4,129.4,129.4,,,124,,134.8,129.4 [124 – 134.8],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2011,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,132.3,129.35,129.4,,,124.4,,134.4,129.4 [124.4 – 134.4],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2010,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,132.1,129.3,129.3,,,124.7,,134,129.3 [124.7 – 134],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2009,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,132,129.25,129.3,,,124.8,,133.8,129.3 [124.8 – 133.8],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2008,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,131.8,129.15,129.2,,,125,,133.6,129.2 [125 – 133.6],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2007,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,131.65,129.05,129.1,,,124.9,,133.4,129.1 [124.9 – 133.4],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2006,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,131.45,128.95,129,,,124.9,,133.3,129 [124.9 – 133.3],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2005,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,131.25,128.85,128.9,,,124.7,,133.2,128.9 [124.7 – 133.2],,,EN,2017-01-11T00:00:00.000Z
BP_06,Mean systolic blood pressure (age-standardized estimate),numeric,EUR,Europe,Country,ALB,Albania,Year,2004,FALSE,Sex,Female,FMLE,Age Group,18+  years,YEARS18-PLUS,,,,,131.05,128.75,128.8,,,124.6,,133.2,128.8 [124.6 – 133.2],,,EN,2017-01-11T00:00:00.000Z
